stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
0001,,"ST AMAND PISCINE",,  50.444522,   3.439004,,,0,,0
0002,,"REMPART",,  50.362336,   3.521084,,,0,,0
0003,,"VALENCIENNES GARE - QUAI C",,  50.363627,   3.518055,,,0,place_GARE,1
0007,,"DAMPIERRE",,  50.357360,   3.503640,,,0,,0
0008,,"VALENCIENNES HOPITAL",,  50.359027,   3.500641,,,0,,1
0010,,"ST WAAST PLACE",,  50.362449,   3.493678,,,0,,0
0016,,"BRUYERES",,  50.357053,   3.493297,,,0,,1
0018,,"ANZIN CHATEAU D' EAU",,  50.369390,   3.497372,,,0,,0
0019,,"ANZIN RESISTANCE",,  50.370225,   3.492351,,,0,,1
0020,,"LENINE",,  50.371162,   3.482183,,,0,,0
0021,,"PF CENTRE COMMERCIAL",,  50.377849,   3.476648,,,0,place_PFC,1
0022,,"CORREZZOLA",,  50.373560,   3.462490,,,0,,0
0023,,"DUCLOS",,  50.372105,   3.470578,,,0,,1
0028,,"CARDON",,  50.354771,   3.530361,,,0,,1
0029,,"CANADA",,  50.352575,   3.525233,,,0,,0
0030,,"STADE NUNGESSER",,  50.348209,   3.524827,,,0,,0
0031,,"AVENUE DE REIMS",,  50.345264,   3.525741,,,0,,0
0032,,"BRIQUETTE EGLISE",,  50.343181,   3.525966,,,0,,0
0034,,"CHEMIN DES BOURGEOIS",,  50.343711,   3.519481,,,0,,0
0037,,"CFA AFOBAT",,  50.335834,   3.524222,,,0,,0
0040,,"CHEMIN VERT",,  50.330889,   3.513711,,,0,place_TYCHVE,0
0041,,"RES. UNIVERSITAIRE",,  50.328745,   3.512776,,,0,place_AUL,0
0042,,"PONT JACOB",,  50.365597,   3.514464,,,0,place_TYLYES,0
0046,,"KLEBER",,  50.373618,   3.500840,,,0,,0
0047,,"MONT DE SABLE",,  50.376863,   3.497747,,,0,,0
0048,,"CITE CARPEAUX",,  50.378655,   3.496031,,,0,,0
0049,,"GABRIEL PERI",,  50.382578,   3.492355,,,0,,0
0050,,"GILBERTE",,  50.384652,   3.490809,,,0,,0
0051,,"RUE DE BEUVRAGES",,  50.389048,   3.487551,,,0,,0
0052,,"RAISMES PLACE",,  50.392476,   3.483736,,,0,,1
0053,,"RAISMES SNCF",,  50.392315,   3.477147,,,0,,0
0054,,"PETIT VICOIGNE",,  50.393671,   3.470953,,,0,,0
0055,,"PONT DU ROI",,  50.397086,   3.466261,,,0,,0
0056,,"VICOIGNE PLACE",,  50.399748,   3.462978,,,0,,0
0057,,"VICOIGNE EGLISE",,  50.404189,   3.459825,,,0,,0
0058,,"CULBUTE",,  50.407465,   3.457438,,,0,,0
0060,,"FORET",,  50.418331,   3.448597,,,0,,0
0061,,"GRISE CHEMISE",,  50.425516,   3.444053,,,0,,1
0062,,"PONT DE PIERRE",,  50.432303,   3.436385,,,0,,0
0063,,"MOULIN DES LOUPS",,  50.436510,   3.432824,,,0,,0
0064,,"CROIX DU PETIT DIEU",,  50.439265,   3.431988,,,0,,0
0066,,"ST AMAND EGLISE",,  50.446390,   3.431215,,,0,,1
0067,,"AVENUE DU CLOS",,  50.449286,   3.433943,,,0,,0
0069,,"ANZIN HOTEL DE VILLE",,  50.368573,   3.502319,,,0,place_TYANH,1
0070,,"SAULT.CHATEAU D'EAU",,  50.334663,   3.588107,,,0,,1
0071,,"ST AMAND SNCF",,  50.443648,   3.419050,,,0,place_SAS,1
0072,,"DUSSART",,  50.397181,   3.491555,,,0,,1
0073,,"RAISMES MARAIS",,  50.399065,   3.496636,,,0,,1
0074,,"REPOS DU CHASSEUR",,  50.400528,   3.501168,,,0,,1
0075,,"SABATIER",,  50.404271,   3.506345,,,0,,0
0076,,"PINSON",,  50.405083,   3.510957,,,0,,0
0077,,"PERIER",,  50.403566,   3.515051,,,0,,0
0078,,"CERNAY",,  50.406265,   3.518591,,,0,,0
0079,,"PINSON EGLISE",,  50.402688,   3.522117,,,0,,0
0080,,"LES SOUPIRS",,  50.399241,   3.525494,,,0,,1
0081,,"ROLLIN",,  50.399639,   3.528786,,,0,,0
0083,,"BRUAY PLACE",,  50.397311,   3.535651,,,0,place_BRU,0
0084,,"BRABANT",,  50.388169,   3.605437,,,0,,0
0085,,"DEGUISE",,  50.416875,   3.404505,,,0,,0
0086,,"PELLOUTIER",,  50.414950,   3.400744,,,0,,0
0087,,"CHEMIN DES MOULINS",,  50.414940,   3.393833,,,0,,0
0088,,"HASNON CALVAIRE",,  50.416913,   3.387513,,,0,,0
0089,,"HASNON PLACE",,  50.423975,   3.386322,,,0,,0
0090,,"HASNON CATAINE",,  50.417959,   3.373924,,,0,,0
0092,,"MATHIEU",,  50.371302,   3.508072,,,0,,0
0095,,"ANZIN CHAPELLE",,  50.378448,   3.512038,,,0,,0
0096,,"MARGUERITE LEDUC",,  50.384594,   3.513315,,,0,,1
0097,,"PARC FENELON",,  50.384516,   3.509348,,,0,,1
0098,,"BEUVRAGES CENTRE",,  50.385843,   3.506827,,,0,,1
0100,,"DANNA",,  50.387084,   3.497517,,,0,,0
0102,,"ROMAINVILLE",,  50.352901,   3.534553,,,0,,0
0103,,"BLANCS BALLONS",,  50.351312,   3.539855,,,0,,0
0104,,"MARLY PLACE",,  50.350074,   3.544504,,,0,,1
0105,,"FONTINETTES",,  50.347594,   3.550274,,,0,,1
0106,,"RHONELLE",,  50.346803,   3.543359,,,0,,1
0107,,"PONT DES IMBECILES",,  50.343393,   3.546794,,,0,,1
0119,,"POINT DU JOUR",,  50.400556,   3.543871,,,0,,0
